id;nombre_departamento;ubicacion_departamento;presupuesto_departamento
1;when;why descriptive at;23129.44
2;yet deplore acceptable;for morbidity paintwork;3595.11
3;male boohoo as;after doodle unsung;12182.2
4;following;gee who observe;23706.54
5;blissfully than yowza;ajar even joshingly;31467.09
6;clearly who;very apud punctually;5774.72
7;overload;openly rally;28456.62
8;gah;vice;28085.48
9;eek technologist consequently;heating ultimately;31157.72
10;plus joyous midwife;happy-go-lucky caption;14295.33
